Column,JOURNAL,YEAR,editor_id,FIRST_NAME,MIDDLE_NAME,LAST_NAME,INST,UNIT,CITY,STATE,COUNTRY,Inst_Prior_Class,DATA
1914,ECOLOGY,2002,2038,Katherine,Cole,Larson,NA,NA,,,USA,NA,USA
1915,ECOLOGY,2002,3762,William,K,Lauenroth,NA,NA,,,USA,NA,USA
1916,ECOLOGY,2002,3385,Sandra,,Lavorel,NA,NA,,,Canada,NA,Canada
1917,ECOLOGY,2002,2444,Martin,J,Lechowicz,NA,NA,,,Canada,NA,Canada
1918,ECOLOGY,2002,2857,Pierre,,Legendre,NA,NA,,,Canada,NA,Canada
1919,ECOLOGY,2002,2448,Mark,,Lewis,NA,NA,,,Canada,NA,Canada
1920,ECOLOGY,2002,2455,Michel,,Loreau,NA,NA,,,France,NA,France
1921,ECOLOGY,2002,999,Earl,D,McCoy,NA,NA,,,USA,NA,USA
1922,ECOLOGY,2002,1107,Frederick,C,Meinzer,NA,NA,,,USA,NA,USA
1923,ECOLOGY,2002,1003,Eric,,Menges,NA,NA,,,USA,NA,USA
1924,ECOLOGY,2002,3771,William,K,Michener,NA,NA,,,USA,NA,USA
1925,ECOLOGY,2002,3410,Steven,G,Morgan,NA,NA,,,USA,NA,USA
1926,ECOLOGY,2002,2489,Michael,G,Neubert,NA,NA,,,USA,NA,USA
1927,ECOLOGY,2002,2883,Peter,,Nonacs,NA,NA,,,USA,NA,USA
1928,ECOLOGY,2002,3418,Soren,,Nylin,NA,NA,,,Sweden,NA,Sweden
1929,ECOLOGY,2002,2503,Matthew,,Parker,NA,NA,,,USA,NA,USA
1930,ECOLOGY,2002,3433,Steven,C,Pennings,NA,NA,,,USA,NA,USA
1931,ECOLOGY,2002,3871,Debra,PC,Peters,NA,NA,,,USA,NA,USA
1932,ECOLOGY,2002,820,David,W,Pfennig,NA,NA,,,USA,NA,USA
1933,ECOLOGY,2002,3781,William,J,Platt,NA,NA,,,USA,NA,USA
1934,ECOLOGY,2002,2071,Kenneth,F,Raffa,NA,NA,,,USA,NA,USA
1935,ECOLOGY,2002,2898,Peter,T,Raimondi,NA,NA,,,USA,NA,USA
1936,ECOLOGY,2002,3903,James,H,Richards,NA,NA,,,USA,NA,USA
1937,ECOLOGY,2002,2539,Mark,,Ritchie,NA,NA,,,USA,NA,USA
1938,ECOLOGY,2002,3872,David,W,Roberts,NA,NA,,,USA,NA,USA
1939,ECOLOGY,2002,1856,Joshua,P,Schimel,NA,NA,,,USA,NA,USA
1940,ECOLOGY,2002,2740,Oswald,J,Schmitz,NA,NA,,,USA,NA,USA
1941,ECOLOGY,2002,3473,Stephen,J,Simpson,NA,NA,,,Australia,NA,Australia
1942,ECOLOGY,2002,359,Barry,,Sinervo,NA,NA,,,USA,NA,USA
