"","JOURNAL","YEAR","FIRST_NAME","MIDDLE_NAME","LAST_NAME","INST","COUNTRY","editor_id","UNIT","CITY","STATE"
"240","LECO",2007,"H",NA,"Li","USDA Forest Service","USA",1327,NA,"Charleston",NA
"241","LECO",2007,"J",NA,"Ludwig","Tropical Savannas Management Cooperative Research Centre and CSIRO Sustainable Ecosystems","Australia",1728,NA,"Atherton, Queensland",NA
"242","LECO",2007,"K",NA,"Moloney","Iowa State University","USA",2053,"Department of Ecology, Evolution, and Organismal Biology","Ames","IA"
"243","LECO",2007,"K",NA,"Riitters","USDA Forest Service","USA",2075,NA,"Research Triangle Park","NC"
"244","LECO",2007,"N",NA,"Schumaker","US Environmental Protection Agency","USA",2688,NA,"Corvallis","OR"
"245","LECO",2007,"A",NA,"Veldkamp","Wageningen Agricultural University","Netherlands",223,"Laboratory of Soil Science and Geology","Wageningen",NA
"246","LECO",2008,"G",NA,"Foody","University of Nottingham","United Kingdom",1179,"School of Geography","Nottingham",NA
"247","LECO",2008,"L",NA,"Gillson","University of Cape Town","United Kingdom",2153,"Botany Department","Cape Town",NA
"248","LECO",2008,"G","M","Henebry","South Dakota State University","USA",1201,"Geographic Information Science Center of Excellence (GIScCE)","Brookings","SD"
"249","LECO",2008,"J",NA,"Jaeger","Concordia University","Canada",1653,"Department of Geography, Planning and Envrionment","Montreal","QC"
"250","LECO",2008,"G","Darrel","Jenerette","University of California","USA",1211,"Department of Botany & Plant Sciences","Riverside","CA"
