JOURNAL,YEAR,editor_id,FIRST_NAME,MIDDLE_NAME,LAST_NAME,INST,NOTES,INST.CORRECTED,,,,
EVOL,2015,988,Eva,NA,Kisdi,NA,,University of Helsinki,,,,
OIKOS,1989,2723,Olli,NA,Jarvinen,NA,,University of Helsinki,,,,
JBIOG,2013,1436,Jason,NA,Ali,NA,,University of hong kong,,,,
JBIOG,2014,1436,Jason,NA,Ali,NA,,University of hong kong,,,,
OIKOS,2014,2574,Mei,NA,Sun,NA,,University of Hong Kong,,,,
EVOL,2015,2974,Riccardo,NA,Azevedo,NA,,University of Houston,,,,
JBIOG,1985,906,David,NA,Watts,NA,,University of Hull,,,,
JBIOG,1995,906,David,NA,Watts,NA,,University of Hull,,,,
BITR,1993,3290,Sandra,NA,Brown,NA,,University of Illinois Champaign-Urbana,,,,
BITR,1996,3290,Sandra,NA,Brown,NA,,University of Illinois Champaign-Urbana,,,,
AMNAT,2015,3065,Rebecca,NA,Fuller,NA,,University of illinois urbana champaign,,,,
OECOL,2013,1465,James,NA,Bever,NA,,university of indiana,,,,
OECOL,1985,3817,Wolfgang,W,Weisser,NA,,University of Innsbruck ,,,,
EVOL,2015,2488,Maurine,NA,Neiman,NA,,University of Iowa,,,,
OECOL,2014,2255,Laurence,NA,Ward,NA,,University of Kansas,,,,
NEWPHYT,1985,2760,Peter,NA,Ayers,NA,,University of Lancaster,,,,
NEWPHYT,2002,2760,Peter,NA,Ayers,NA,,University of Lancaster,,,,
BIOCON,1986,753,Dj,NA,Kuenen,NA,,university of leiden,,,,
BIOCON,2014,3143,Robert,H,Marrs,NA,,university of liverpool,,,,
AMNAT,2015,1707,Jeff,NA,Leips,NA,,University of Maryland Baltimore,,,,
OECOL,2013,1400,Ines,NA,Ibanez,NA,,University of Michigan,,,,
OECOL,2014,1400,Ines,NA,Ibanez,NA,,University of Michigan,,,,
AMNAT,1991,1800,John,NA,Pastor,NA,,University of Minnesota Duluth,,,,
EVOL,2015,52,Antony,NA,Dean,NA,,University of Minnesota Minneapolis,,,,
OECOL,2013,1200,George,NA,Heimpel,NA,,University of Minnesota St. Paul,,,,
OECOL,2014,1200,George,NA,Heimpel,NA,,University of Minnesota St. Paul,,,,
PLANTECOL,2012,3497,S,J,Walsh,NA,,University of north carolina chapel hill,,,,
BIOCON,1998,2454,M,NA,Lomolino,NA,,university of oklahoma,,,,
JBIOG,1986,2832,Peter,NA,Holland,NA,,University of Otago,,,,
JBIOG,2003,2832,Peter,NA,Holland,NA,,University of Otago,,,,
JBIOG,2014,3359,Steven,NA,Higgins,NA,,University of Otago,,,,
AMNAT,1997,2502,Mark,NA,Pagel,NA,,University of Oxford,,,,
EVOL,2015,2379,Matt,NA,Friedman,NA,,University of Oxford,,,,
JANE,1994,848,David,J,Rogers,NA,,University of Oxford,,,,
JANE,1996,848,David,J,Rogers,NA,,University of Oxford,,,,
JANE,1991,3147,Robert,M,May,NA,,University of Oxford,,,,
JANE,1996,3147,Robert,M,May,NA,,University of Oxford,,,,
JANE,2008,3148,Robin,NA,Mccleery,NA,,University of Oxford,,,,
JAPE,2005,TBD,Robert,NA,Freckleto,NA,,university of oxford,,,,
BIOCON,1986,1057,F,NA,Bourliere,NA,,"University of Paris, Faculty of Medicine",,,,
EVOL,2015,1562,Jan,NA,Engelstadter,NA,,University of Queensland,,,,
JAPE,1985,3150,Roger,NA,Mead,NA,,University of Reading,,,,
JAPE,1987,3150,Roger,NA,Mead,NA,,University of Reading,,,,
JECOL,1985,289,B,NA,Hopkins,NA,,University of Sheffield,,,,
BIOCON,2008,3355,Steve,NA,Hawkins,NA,,university of southampton,,,,
BIOCON,2014,3355,Steve,J,Hawkins,NA,,university of southampton,,,,
EVOL,2015,3318,Suzanne,NA,Edmands,NA,,University of Southern California,,,,
AMNAT,1991,3603,Thomas,R,Meagher,NA,,University of St. Andrews,,,,
JANE,1999,287,Bill,NA,Gurney,NA,,University of Strathclyde,,,,
JANE,2014,287,Bill,NA,Gurney,NA,,University of Strathclyde,,,,
NEWPHYT,2015,3917,Margaret,M,Barbour,NA,,University of Sydney,,,,
OECOL,2013,2158,Laura,NA,Gough,NA,,University of Texas Arlington,,,,
OECOL,2014,2158,Laura,NA,Gough,NA,,University of Texas Arlington,,,,
AMNAT,1991,2435,Mark,NA,Kirkpatrick,NA,,University of Texas Austin,,,,
AMNAT,2015,2377,Megan,NA,Frederickson,NA,,university of toronto,,,,
NEWPHYT,2014,1892,John,R,Stinchcombe,NA,,University of Toronto,,,,
AMNAT,1991,1861,Jon,NA,Seger,NA,,University of Utah,,,,
OECOL,1985,1128,Friedrich,NA,Schaller,NA,,University of Vienna,,,,
OECOL,1986,1128,Friedrich,NA,Schaller,NA,,University of Vienna,,,,
OECOL,2005,2001,Konrad,NA,Fiedler,NA,,University of Vienna,,,,
