JOURNAL,YEAR,VOLUME,ISSUE,TITLE,FIRST_NAME,MIDDLE_NAME,LAST_NAME,NAME,INST,COUNTRY,GENDER,CATEGORY,NOTES
FUNECOL,2007,21,2,associate editor,David,,Whitehead,David Whitehead,Landcare Research,New Zeland,M,SE,
FUNECOL,2008,22,1,associate editor,David,,Whitehead,David Whitehead,Landcare Research,New Zeland,M,SE,
FUNECOL,2009,23,1,associate editor,David,,Whitehead,David Whitehead,Landcare Research,New Zeland,M,SE,
FUNECOL,2010,24,1,associate editor,David,,Whitehead,David Whitehead,Landcare Research,New Zeland,M,SE,
FUNECOL,2011,25,1,associate editor,David,,Whitehead,David Whitehead,Landcare Research,New Zeland,M,SE,
FUNECOL,2012,26,1,associate editor,David,,Whitehead,David Whitehead,Landcare Research,New Zeland,M,SE,
FUNECOL,2013,27,1,associate editor,David,,Whitehead,David Whitehead,Landcare Research,New Zeland,M,SE,
FUNECOL,2014,28,1,associate editor,David,,Whitehead,David Whitehead,Landcare Research,New Zeland,M,SE,
FUNECOL,2015,29,1,associate editor,David,,Whitehead,David Whitehead,Landcare Research,New Zeland,M,SE,
FUNECOL,2011,25,1,associate editor,Diane,R,Campbell,Diane R Campbell,California,USA,F,SE,
FUNECOL,2012,26,1,associate editor,Diane,R,Campbell,Diane R Campbell,California,USA,F,SE,
FUNECOL,2013,27,1,associate editor,Diane,R,Campbell,Diane R Campbell,California,USA,F,SE,
FUNECOL,2014,28,1,associate editor,Diane,R,Campbell,Diane R Campbell,California,USA,F,SE,
FUNECOL,2015,29,1,associate editor,Diane,R,Campbell,Diane R Campbell,California,USA,F,SE,
FUNECOL,2006,20,1,associate editor,Duncan,J,Irschick,Duncan J Irschick,Tulane,USA,M,SE,
FUNECOL,2007,21,2,associate editor,Duncan,J,Irschick,Duncan J Irschick,Tulane,USA,M,SE,
FUNECOL,2008,22,1,associate editor,Duncan,J,Irschick,Duncan J Irschick,Tulane,USA,M,SE,
FUNECOL,2009,23,1,associate editor,Duncan,J,Irschick,Duncan J Irschick,Tulane,USA,M,SE,
FUNECOL,2010,24,1,associate editor,Duncan,J,Irschick,Duncan J Irschick,Tulane,USA,M,SE,
FUNECOL,2011,25,1,editor,Duncan,J,Irschick,Duncan J Irschick,Massachusetts,USA,M,EIC,
FUNECOL,2012,26,1,editor,Duncan,J,Irschick,Duncan J Irschick,Massachusetts,USA,M,EIC,
FUNECOL,2013,27,1,editor,Duncan,J,Irschick,Duncan J Irschick,Massachusetts,USA,M,EIC,
FUNECOL,2014,28,1,editor,Duncan,J,Irschick,Duncan J Irschick,Massachusetts,USA,M,EIC,
FUNECOL,2015,29,1,editor,Duncan,J,Irschick,Duncan J Irschick,Massachusetts,USA,M,EIC,
FUNECOL,2013,27,1,associate editor,Dustin,,Marshall,Dustin Marshall,Monash,Australia,M,SE,
FUNECOL,2014,28,1,associate editor,Dustin,,Marshall,Dustin Marshall,Monash,Australia,M,SE,
FUNECOL,2015,29,1,associate editor,Dustin,,Marshall,Dustin Marshall,Monash,Australia,M,SE,
FUNECOL,2010,24,1,associate editor,Edith,B,Allen,Edith B Allen,Riverside,USA,F,SE,
FUNECOL,2011,25,1,associate editor,Edith,B,Allen,Edith B Allen,Riverside,USA,F,SE,
FUNECOL,2012,26,1,associate editor,Edith,B,Allen,Edith B Allen,Riverside,USA,F,SE,
FUNECOL,2013,27,1,associate editor,Edith,B,Allen,Edith B Allen,Riverside,USA,F,SE,
FUNECOL,2014,28,1,associate editor,Edith,B,Allen,Edith B Allen,Riverside,USA,F,SE,
FUNECOL,2015,29,1,associate editor,Edith,B,Allen,Edith B Allen,Riverside,USA,F,SE,
FUNECOL,1987,1,1,editorial review board,Edward,I,Newman,Edward I Newman,Bristol,England,M,SE,
