FIRST_NAME,MIDDLE_NAME,LAST_NAME,SUFFIX,EDITOR_TITLE,INST,UNIT,CITY,COUNTRY,NOTES,STATE,YEAR
Marc,,Bechard,,Associate Editor,Boise State  University,None given,None given,None given,,None given,2006
Erick,K,Bollinger,,Associate Editor,Estern Illinois  University,None given,None given,None given,,None given,2006
Gary,R,Bortolotti,,Associate Editor,University of Saskatchewan,None given,None given,None given,,None given,2006
James,V,Briskie,,Associate Editor,University of Canterbury,None given,None given,None given,,None given,2006
Margaret,,Brittingham,,Associate Editor,Penn State  University,None given,None given,None given,,None given,2006
Alan,E,Burger,,Associate Editor,University of Victoria,None given,None given,None given,,None given,2006
Edward,H,Burt,Jr,Associate Editor,University of Victoria,None given,None given,None given,,None given,2006
Edward,H,Burtt,,Associate Editor,Ohio Wesleyan  University,None given,None given,None given,,None given,2006
Alfred,M,Dufty,Jr,Associate Editor,Boise State  University,None given,None given,None given,,None given,2006
Robert,C,Fleischer,,Associate Editor,Smithsonian Institution,None given,None given,None given,,None given,2006
Collen,M,Handel,,Associate Editor,Alaska Science Center,None given,None given,None given,,None given,2006
David,A,Haukos,,Associate Editor,Texas Tech  University,None given,None given,None given,,None given,2006
Keith,A,Hobson,,Associate Editor,Canadian Wildlife Service,None given,None given,None given,,None given,2006
Rebecca,L,Holberton,,Associate Editor,University of Maine,None given,None given,None given,,None given,2006
Fabian,M,Jaksic,,Associate Editor,Catholic  Universityniversity of Chile,None given,None given,None given,,None given,2006
Helen,F,James,,Associate Editor,Smithsonian Institution,None given,None given,None given,,None given,2006
Douglas,H,Johnson,,Associate Editor,Northern Prairie Wildlife Research Center,None given,None given,None given,,None given,2006
Kevin ,P,Johnson,,Associate Editor,Illinois Natural History Survey,None given,None given,None given,,None given,2006
John,,Klicka,,Associate Editor,University of Nevada,None given,None given,None given,,None given,2006
David,B,Lank,,Associate Editor,Simon Fraser University,None given,None given,None given,,None given,2006
David,B,McDonald,,Associate Editor,University of Wyoming,None given,None given,None given,,None given,2006
Michael,T,Murphy,,Associate Editor,Portland State University,None given,None given,None given,,None given,2006
Brett,K,Sandercock,,Associate Editor,Kansas State University,None given,None given,None given,,None given,2006
Navjot,S,Sodhi,,Associate Editor,National  University of Singapore,None given,None given,None given,,None given,2006
Karen,,Steenhof,,Associate Editor,Snake River Field Station,None given,None given,None given,,None given,2006
Philip,C,Stouffer,,Associate Editor,Louisiana State University,None given,None given,None given,,None given,2006
Jorge,H,Vega Rivera,,Associate Editor,Estacion Biologia Chamela,None given,None given,None given,,None given,2006
Kevin,,Winker,,Associate Editor,University of Alaska Museum,None given,None given,None given,,None given,2006
Ken,,Yasukawa,,Associate Editor,Beloit College,None given,None given,None given,,None given,2006
R,Todd,Engstrom,,Book Review Editor,Tall Timber Research Station,None given,Tallahassee,USA,,Florida,2006
Alan,H,Brush,,Memorials Editor,None given,None given,Mystic,USA,,Connecticut,2006
